,Feature,Importance
4,Charlson_4,0.2735890544239148
0,Charlson_0,0.22984165445690283
3,Charlson_3,0.1802965091664358
6,Charlson_6,0.08100480858562394
1,Charlson_1,0.06437025402270852
2,Charlson_2,0.060793634947972255
7,Charlson_7,0.044864883334388116
8,Charlson_8,0.03644190752199916
5,Charlson_5,0.02879729354005443
